average_income,fishing_dependency,unemployment_rate,tourism_revenue,fish_stock_health,potential_habitat_restoration,marine_biodiversity,carbon_sequestration_potential,current_offshore_wind_farms,distance_from_offshore_wind_farm,potential_wind_farm_capacity,marine_protected_area,community_name
37.327321390253864,16.88161731987358,-45.592758728502055,10.227415935693344,-24.735129247401925,40.469813649384875,-7.671989499022411,32.975116180120345,117.3913043478261,54,-16.967509025270754,-100.0,Community E
-1.150539215948206,32.813056328361675,38.1960363038462,65.34708715638577,19.369782107769552,5.502724122309843,4.838262599429236,17.156724458273114,8.69565217391304,152,11.913357400722024,-100.0,Community D
-0.37715727860676673,-63.93188269614384,46.64178855454554,63.01479271004267,2.278324995045486,-37.12349691064345,2.584552584536356,35.18153250450779,117.3913043478261,107,-63.898916967509024,-100.0,Community B
-42.03572687074763,-38.2162665675898,-0.4990683937912783,44.890479560818356,-35.87924707647524,-27.823330822403307,-14.515956712900257,25.34151200789026,-100.0,173,-63.898916967509024,-100.0,Community E
10.97327726361159,-45.291812933356354,-52.817416474490656,40.5363111079366,42.6926595886302,42.72376219214638,15.742417759223274,-44.26204559075178,-100.0,146,58.844765342960294,170.27027027027026,Community E
13.270924692004158,-42.23269634055024,41.818615086704106,8.79491008541101,47.876918022871514,44.561846442007074,25.37411468031749,59.3327116202128,8.69565217391304,99,-60.28880866425993,170.27027027027026,Community E
-36.81610186818141,-48.85159639600154,41.11738867080303,-14.900075097230836,-28.86255114080808,3.2599606344592003,-21.416967703494212,-3.205252237986929,-100.0,40,-38.628158844765345,170.27027027027026,Community A
7.373535882531438,8.535362016403374,-51.01061537773831,-16.408778067209038,-40.040774287351574,-5.067836697083532,29.215304846736572,-64.48123238803466,8.69565217391304,187,66.06498194945848,-100.0,Community D
40.04681351174176,-45.710671887397424,-19.71033354176962,-30.335292504840506,20.990269872153103,49.569368996567775,-28.756466887188825,55.368174169168874,-100.0,126,76.89530685920577,-100.0,Community D
-36.36613419554639,-30.67790082849407,4.597558405599168,34.19936108383844,26.297404088359443,-30.69178325107597,12.437692730273785,-1.516746868352854,117.3913043478261,194,15.523465703971123,-100.0,Community E
-39.52996939376136,55.66860721025454,11.65724056109942,50.95311995401139,-14.86577524863179,50.38997586290598,2.7050839491172103,-5.944842056641407,-100.0,160,44.404332129963905,170.27027027027026,Community D
-16.396006424413446,21.71385744056473,-52.30412394609682,45.94233110444611,-26.29310915581809,-43.51383668975169,-11.358126094127243,40.87547745265977,117.3913043478261,50,-63.898916967509024,170.27027027027026,Community A
35.31934065112009,-53.57019348340239,-69.79259436317008,51.12472911923949,2.2469460031351662,38.35491518996939,12.490575152663178,14.43950912600207,-100.0,117,-24.18772563176895,-100.0,Community E
-34.39752562776818,30.346591024445914,-52.0488800971345,-33.25364218919228,27.832456106067678,42.63533142733227,-28.214720642315505,-3.9351748257651744,-100.0,49,-45.848375451263536,-100.0,Community B
-7.568203146905166,47.60918535413379,-20.973378766762703,-52.19989035565767,-23.163636450478663,5.1258508795124405,11.011461833053508,29.09162652652587,8.69565217391304,154,-38.628158844765345,-100.0,Community E
35.97179377644087,2.8152744282264273,-23.994238348826734,37.22239898481584,7.2757864024965855,40.779433093954275,-22.475648280185805,-32.27884202611605,-100.0,97,1.0830324909747318,-100.0,Community C
1.2792862162808976,74.00523449790619,-43.594387390862586,-7.414536316673637,46.24577104368365,9.3734527041138,-33.951272059584255,46.64595042457185,-100.0,113,-13.357400722021659,-100.0,Community A
9.724616972049413,51.41973529407953,-26.377800084608126,-22.529394529735892,-18.51491230368327,-13.287369474667498,25.582976661831353,-63.39966686881442,117.3913043478261,46,1.0830324909747318,-100.0,Community D
28.550139475917025,6.357259008865392,-35.68197888028675,-8.093021973791634,-32.3334398959558,48.80468259163174,7.975692237606556,48.392513433318804,117.3913043478261,177,76.89530685920577,-100.0,Community D
19.7082747086389,-27.84905127164432,-15.736716402808812,-24.520127104746656,-13.512084624098339,-41.05975913873746,19.607288264467446,-57.572334279097895,117.3913043478261,30,69.67509025270758,-100.0,Community E
25.69846935059259,-1.1504570668313274,-9.82539486490301,26.382861770341353,-5.381189254127929,-19.49605817659551,-0.09591762556593224,51.83624117421679,117.3913043478261,158,-20.577617328519853,-100.0,Community B
